100.000  50.000  50.000  50.000  50.000  50.000  50.000  50.000  50.000  50.000  50.000  50.000  50.000  50.000  50.000  50.000  50.000  50.000  50.000  50.000  50.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
100.000  74.881  64.882  60.124  57.478  55.820  54.692  53.880  53.279  52.831  52.501  52.273  52.139  52.099  52.161  52.347  52.697  53.291  54.296  56.113  59.824  68.778   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
100.000  84.642  74.524  68.137  63.969  61.114  59.068  57.553  56.410  55.546  54.905  54.458  54.189  54.100  54.206  54.538  55.159  56.178  57.790  60.344  64.419  70.661  77.626   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
100.000  89.163  80.438  73.932  69.152  65.602  62.919  60.860  59.269  58.044  57.124  56.472  56.071  55.919  56.034  56.453  57.237  58.488  60.362  63.074  66.873  71.853  77.519  83.450   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
100.000  91.573  84.134  78.007  73.109  69.229  66.153  63.708  61.770  60.249  59.088  58.249  57.716  57.488  57.578  58.021  58.869  60.200  62.120  64.747  68.178  72.398  77.189  82.311  87.581   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
100.000  92.996  86.521  80.855  76.056  72.061  68.764  66.062  63.866  62.109  60.744  59.738  59.077  58.758  58.794  59.209  60.044  61.355  63.204  65.653  68.734  72.415  76.577  81.076  85.781  90.591   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
100.000  93.893  88.103  82.843  78.207  74.203  70.792  67.922  65.539  63.596  62.060  60.905  60.119  59.701  59.657  60.007  60.779  62.006  63.726  65.968  68.736  72.000  75.684  79.693  83.936  88.331  92.813   0.000   0.000   0.000   0.000   0.000   0.000 
100.000  94.475  89.159  84.215  79.736  75.762  72.293  69.311  66.788  64.698  63.017  61.728  60.822  60.298  60.160  60.419  61.095  62.206  63.772  65.803  68.295  71.219  74.522  78.140  82.004  86.051  90.225  94.478   0.000   0.000   0.000   0.000   0.000 
100.000  94.850  89.850  85.128  80.770  76.828  73.324  70.259  67.626  65.413  63.606  62.196  61.175  60.542  60.300  60.455  61.017  61.996  63.400  65.231  67.477  70.116  73.108  76.406  79.958  83.715  87.630  91.661  95.770   0.000   0.000   0.000   0.000 
100.000  95.076  90.270  85.684  81.400  77.471  73.931  70.795  68.068  65.747  63.828  62.305  61.174  60.433  60.083  60.127  60.568  61.410  62.654  64.297  66.326  68.722  71.454  74.486  77.780  81.295  84.995  88.844  92.808  96.851   0.000   0.000   0.000 
100.000  95.188  90.474  85.949  81.686  77.741  74.152  70.943  68.126  65.706  63.683  62.055  60.819  59.973  59.515  59.446  59.766  60.473  61.565  63.035  64.871  67.056  69.567  72.375  75.452  78.767  82.290  85.992  89.847  93.823  97.887   0.000   0.000 
100.000  95.204  90.497  85.961  81.667  77.671  74.013  70.722  67.814  65.297  63.176  61.448  60.112  59.165  58.604  58.425  58.627  59.205  60.154  61.467  63.131  65.132  67.452  70.069  72.962  76.107  79.483  83.069  86.845  90.790  94.881  99.081   0.000 
